id,food category,scientific name,family,popular name,occurrence by region,conservation status,origin,commercial cultivation,availability of nutritional composition data,number of recipes (POF/IBGE),number of recipes - other sources
154,mushrooms,Marasmius cladophyllus Berk.,Marasmiaceae,,"AM, PA, PE, PR, RJ, RS, SP",Data Deficient (DD),Native,No,Does not exist,0,0
155,mushrooms,Marasmius haematocephalus (Mont.) Fr.,Marasmiaceae,,"AM, MA, MG, PA, PE,  PR, RJ, RS, SP",Data Deficient (DD),Native,No,Does not exist,0,0
156,mushrooms,Neofavolus subpurpurascens (Murrill) Palacio & Robledo,Polyporaceae,favo-de-abelha-roxo,"RS, SP",Data Deficient (DD),Naturally occurring,No,Does not exist,0,0
157,mushrooms,"Ophiocordyceps melolonthae (Tul. & C. Tul.) G.H. Sung, J.M. Sung, Hywel-Jones & Spatafora",Ophiocordycipitaceae,,"PR, RS",Data Deficient (DD),Naturally occurring,No,Does not exist,0,0
158,mushrooms,Oudemansiella cubensis (Berk. & M.A. Curtis) R.H. Petersen,Physalacriaceae,fungo-de-porcelana,"AM, MT, RJ, RS, SP",Data Deficient (DD),Naturally occurring,No,Does not exist,0,0
159,mushrooms,Oudemansiella platensis (Speg.) Speg.,Physalacriaceae,fungo-de-porcelana,"DF, ES, PR, RS, SP",Data Deficient (DD),Naturally occurring,No,Does not exist,0,0
160,mushrooms,Panus neostrigosus Drechsler-Santos & Wartchow,Panaceae,,"AM, DF, MG, PR, RO, RR, RS, SC, SP",Data Deficient (DD),Naturally occurring,No,Does not exist,0,2
161,mushrooms,Panus strigellus (Berk.) Overh.,Panaceae,funil-roxo,"AM, DF, PR, RR, RS, SC, SP",Data Deficient (DD),Naturally occurring,No,Does not exist,0,2
162,mushrooms,Panus velutinus (Fr.) Sacc.,Panaceae,funil-de-veludo,"AM, MG, MT, PA, PE, PR, RJ, RN, RO, RR, RS, SP",Data Deficient (DD),Native,No,Does not exist,0,2
163,mushrooms,Phallus indusiatus Vent.,Phallaceae,véu-de-noiva,"AM, CE, ES, MA, MS, PA, PB, PR, RJ, RS, RN, RO, SC, SP",Not Evaluated (NE),Naturally occurring,Yes ,Does not exist,0,0
164,mushrooms,Phillipsia domingensis (Berk.) Berk. ex Denison,Sarcoscyphaceae,fígado-de-galinha,"BA, PR, RJ, RS, SP",Data Deficient (DD),Naturally occurring,No,Does not exist,0,0
165,mushrooms,Phlebopus beniensis (Singer & Digilio) Heinem. & Rammeloo,Boletinellaceae,chapéu-de-vaqueiro-nordestino,"GO, PB, PR, RS, SP",Data Deficient (DD),Naturally occurring,No,Does not exist,0,0
166,mushrooms,Pholiota bicolor (Speg.) Singer,Strophariaceae,,"PR, RS, SP",Data Deficient (DD),Native,No,Does not exist,0,0
167,mushrooms,Pleurotus albidus (Berk.) Pegler,Pleurotaceae,,"AM, MG, PR, RJ, RS, SP",Not Evaluated (NE),Native,No,"Yes, at the genus level",0,3
168,mushrooms,Pleurotus fuscosquamulosus D.A. Reid & Eicker,Pleurotaceae,,SP,Data Deficient (DD),Naturally occurring,No,"Yes, at the genus level",0,0
169,mushrooms,Pleurotus magnificus Rick,Pleurotaceae,,RS,Data Deficient (DD),Native,No,"Yes, at the genus level",0,0
170,mushrooms,Pleurotus rickii Bres.,Pleurotaceae,,"RS, SP",Near Threatened (NT),Native,No,"Yes, at the genus level",0,0
171,mushrooms,Pluteus harrisii Murrill,Pluteaceae,,"MG, PR, SP",Data Deficient (DD),Naturally occurring,No,Does not exist,0,0
